t,dtMs,drawCalls,setPass,batches,bullets
5.682,4.57,30,28,30,0
5.687,4.90,30,28,30,0
5.692,4.70,30,28,30,0
5.697,5.06,30,28,30,0
5.703,5.84,30,28,30,0
5.708,5.24,30,28,30,0
5.712,4.38,30,28,30,0
5.719,7.25,30,28,30,0
5.724,4.54,30,28,30,0
5.729,5.28,30,28,30,0
5.735,5.27,30,28,30,0
5.739,4.79,30,28,30,0
5.744,4.75,30,28,30,0
5.749,5.04,30,28,30,0
5.754,4.86,30,28,30,0
5.758,4.18,30,28,30,0
5.763,4.68,30,28,30,0
5.768,5.51,30,28,30,0
5.774,6.03,30,28,30,0
5.779,4.99,30,28,30,0
5.784,4.71,30,28,30,0
5.789,4.77,30,28,30,0
5.794,4.83,30,28,30,0
5.798,4.59,30,28,30,0
5.803,4.52,30,28,30,0
5.809,5.95,30,28,30,0
5.815,5.96,30,28,30,0
5.819,4.21,30,28,30,0
5.823,4.41,30,28,30,0
5.828,4.86,30,28,30,0
5.834,5.34,30,28,30,0
5.838,4.79,30,28,30,0
5.844,5.27,30,28,30,0
5.849,5.52,30,28,30,0
5.855,5.54,30,28,30,0
5.860,5.49,30,28,30,0
5.865,4.47,30,28,30,0
5.869,4.73,30,28,30,0
5.876,6.24,30,28,30,0
5.881,5.55,30,28,30,0
5.886,4.97,30,28,30,0
5.891,5.11,30,28,30,0
5.896,4.65,30,28,30,0
5.900,4.26,30,28,30,0
5.905,5.17,30,28,30,0
5.951,45.67,30,28,30,0
5.956,5.00,30,28,30,0
5.961,4.94,30,28,30,0
5.966,4.87,30,28,30,0
5.971,5.68,30,28,30,0
5.977,5.25,30,28,30,0
5.983,5.83,30,28,30,0
5.988,5.39,30,28,30,0
5.992,4.51,30,28,30,0
5.997,4.96,30,28,30,0
6.003,5.90,30,28,30,0
6.012,8.44,30,28,30,0
6.018,6.35,30,28,30,0
6.025,6.63,30,28,30,0
6.030,5.71,30,28,30,0
6.035,4.94,30,28,30,0
6.042,6.19,30,28,30,0
6.047,5.31,30,28,30,0
6.053,6.23,30,28,30,0
6.060,7.34,30,28,30,0
6.066,5.65,30,28,30,0
6.072,6.20,30,28,30,0
6.081,8.43,30,28,30,0
6.086,5.43,30,28,30,0
6.092,5.85,30,28,30,0
6.097,5.43,30,28,30,0
6.103,5.16,30,28,30,0
6.108,5.80,30,28,30,0
6.114,5.36,30,28,30,0
6.119,4.88,30,28,30,0
6.125,5.92,30,28,30,0
6.129,4.89,30,28,30,0
6.135,5.13,30,28,30,0
6.139,4.91,30,28,30,0
6.144,5.00,30,28,30,0
6.151,6.14,30,28,30,0
6.156,5.14,30,28,30,0
6.160,4.34,30,28,30,0
6.166,5.45,30,28,30,0
6.170,4.19,30,28,30,0
6.175,5.55,30,28,30,0
6.181,5.97,30,28,30,0
6.186,4.33,30,28,30,0
6.192,6.07,30,28,30,0
6.198,5.86,30,28,30,0
6.203,5.64,30,28,30,0
6.208,5.08,30,28,30,0
6.254,45.60,30,28,30,0
6.259,5.34,30,28,30,0
6.265,5.45,30,28,30,0
6.269,4.31,30,28,30,0
6.275,5.93,30,28,30,0
6.280,4.74,30,28,30,0
6.284,4.82,30,28,30,0
6.291,6.28,30,28,30,0
6.295,4.22,30,28,30,0
6.299,4.35,30,28,30,0
6.304,4.89,30,28,30,0
6.310,6.18,30,28,30,0
6.316,5.46,30,28,30,0
6.321,5.43,30,28,30,0
6.327,5.93,30,28,30,0
6.333,6.26,30,28,30,0
6.340,6.34,30,28,30,0
6.345,5.26,30,28,30,0
6.351,5.99,30,28,30,0
6.359,7.92,30,28,30,0
6.367,7.60,30,28,30,0
6.372,5.98,30,28,30,0
6.378,5.25,30,28,30,0
6.384,6.15,30,28,30,0
6.389,5.51,30,28,30,0
6.394,4.83,30,28,30,0
6.400,6.13,30,28,30,0
6.406,5.29,30,28,30,0
6.411,5.74,30,28,30,0
6.417,6.09,30,28,30,0
6.423,5.42,30,28,30,0
6.428,4.88,30,28,30,0
6.434,6.30,30,28,30,0
6.440,5.45,30,28,30,0
6.446,6.02,30,28,30,0
6.453,7.28,30,28,30,0
6.459,5.76,30,28,30,0
6.464,5.43,30,28,30,0
6.469,5.33,30,28,30,0
6.475,6.07,30,28,30,0
6.481,6.06,30,28,30,0
6.486,4.79,30,28,30,0
6.492,5.36,30,28,30,0
6.497,5.61,30,28,30,0
6.502,4.72,30,28,30,0
6.507,5.15,30,28,30,0
6.513,5.47,30,28,30,0
6.557,44.10,30,28,30,0
6.561,4.49,30,28,30,0
6.565,4.17,30,28,30,0
6.569,4.18,30,28,30,0
6.575,5.81,30,28,30,0
6.580,4.22,30,28,30,0
6.584,4.54,30,28,30,0
6.589,5.17,30,28,30,0
6.594,4.59,30,28,30,0
6.599,5.26,30,28,30,0
6.604,4.69,30,28,30,0
6.609,5.42,30,28,30,0
6.614,4.68,30,28,30,0
6.619,5.59,30,28,30,0
6.624,4.20,30,28,30,0
6.628,3.87,30,28,30,0
6.632,4.28,30,28,30,0
6.636,4.34,30,28,30,0
6.640,4.32,30,28,30,0
6.645,4.29,30,28,30,0
6.650,5.60,30,28,30,0
6.655,4.94,30,28,30,0
6.660,4.36,30,28,30,0
6.665,5.42,30,28,30,0
6.670,5.10,30,28,30,0
6.675,4.94,30,28,30,0
6.680,4.47,30,28,30,0
6.684,4.73,30,28,30,0
6.690,5.28,30,28,30,0
6.694,4.56,30,28,30,0
6.699,5.16,30,28,30,0
6.704,4.31,30,28,30,0
6.708,4.51,30,28,30,0
6.713,4.88,30,28,30,0
6.718,4.97,30,28,30,0
6.722,4.29,30,28,30,0
6.726,4.01,30,28,30,0
6.731,4.73,30,28,30,0
6.735,4.24,30,28,30,0
6.740,4.27,30,28,30,0
6.745,5.46,30,28,30,0
6.749,4.33,30,28,30,0
6.753,3.89,30,28,30,0
6.757,4.04,30,28,30,0
6.762,4.41,30,28,30,0
6.766,4.31,30,28,30,0
6.770,4.24,30,28,30,0
6.775,4.88,30,28,30,0
6.780,4.88,30,28,30,0
6.785,4.58,30,28,30,0
6.789,4.80,30,28,30,0
6.795,5.60,30,28,30,0
6.799,4.17,30,28,30,0
6.808,9.00,30,28,30,0
6.813,4.68,31,29,31,0
6.857,43.83,31,29,31,0
6.861,4.76,31,29,31,0
6.866,4.38,31,29,31,0
6.870,4.28,31,29,31,0
6.875,4.87,31,29,31,0
6.880,5.20,31,29,31,0
6.886,5.74,31,29,31,0
6.892,6.33,31,29,31,0
6.897,4.88,31,29,31,0
6.902,4.64,31,29,31,0
6.907,4.78,31,29,31,0
6.911,4.54,31,29,31,0
6.917,5.49,31,29,31,0
6.921,4.64,31,29,31,0
6.927,5.47,31,29,31,0
6.931,4.32,31,29,31,0
6.936,4.75,31,29,31,0
6.940,4.50,31,29,31,0
6.944,4.06,31,29,31,0
6.949,4.63,31,29,31,0
6.953,4.48,31,29,31,0
6.958,4.46,31,29,31,0
6.962,4.10,31,29,31,0
6.967,5.25,31,29,31,0
6.972,4.46,31,29,31,0
6.976,4.26,31,29,31,0
6.981,5.00,31,29,31,0
6.986,5.45,31,29,31,0
6.991,4.72,31,29,31,0
6.996,4.53,31,29,31,0
7.000,4.52,31,29,31,0
7.004,4.06,31,29,31,0
7.008,4.10,31,29,31,0
7.013,4.48,31,29,31,0
7.017,4.41,31,29,31,0
7.022,4.35,31,29,31,0
7.026,4.61,31,29,31,0
7.031,5.19,31,29,31,0
7.036,4.62,31,29,31,0
7.040,4.42,31,29,31,0
7.045,4.51,31,29,31,0
7.051,6.26,31,29,31,0
7.056,4.51,31,29,31,0
7.060,4.11,31,29,31,0
7.064,4.24,31,29,31,0
7.068,3.83,31,29,31,0
7.072,4.26,31,29,31,0
7.077,4.46,31,29,31,0
7.081,4.31,31,29,31,0
7.085,4.37,31,29,31,0
7.090,4.28,31,29,31,0
7.095,5.02,31,29,31,0
7.099,4.83,31,29,31,0
7.104,4.77,31,29,31,0
7.109,4.49,31,29,31,0
7.113,4.43,31,29,31,0
7.164,51.19,31,29,31,0
7.169,5.21,31,29,31,0
7.176,6.20,31,29,31,0
7.181,5.59,31,29,31,0
7.186,5.20,31,29,31,0
7.193,6.98,31,29,31,0
7.199,5.08,31,29,31,0
7.203,4.61,31,29,31,0
7.208,5.23,31,29,31,0
7.215,7.08,31,29,31,0
7.221,5.20,31,29,31,0
7.227,6.39,31,29,31,0
7.233,5.89,31,29,31,0
7.239,6.35,31,29,31,0
7.246,7.08,32,30,32,0
7.252,5.84,33,31,33,0
7.257,4.91,33,31,33,0
7.264,6.44,33,31,33,0
7.269,5.07,33,31,33,0
7.273,4.37,33,31,33,0
7.279,6.33,33,31,33,0
7.285,5.24,33,31,33,0
7.300,14.96,33,31,33,1
7.304,4.84,33,31,33,1
7.309,5.08,33,31,33,1
7.314,4.86,33,31,33,1
7.319,5.13,33,31,33,1
7.324,5.04,33,31,33,1
7.330,5.87,33,31,33,1
7.338,7.20,33,31,33,2
7.344,6.62,33,31,33,2
7.350,5.48,33,31,33,5
7.355,5.15,33,31,33,7
7.362,7.06,33,31,33,9
7.368,6.64,33,31,33,13
7.374,6.04,33,31,33,16
7.381,6.48,33,31,33,18
7.388,7.00,33,31,33,21
7.394,6.44,33,31,33,24
7.401,6.25,33,31,33,27
7.410,9.17,33,31,33,30
7.420,9.80,33,31,33,34
7.428,7.90,33,31,33,39
7.434,6.28,33,31,33,42
7.440,6.45,33,31,33,45
7.446,6.06,33,31,33,48
7.452,5.86,33,31,33,51
7.459,6.65,33,31,33,53
7.465,6.23,33,31,33,56
7.471,5.59,33,31,33,59
7.477,6.26,33,31,33,62
7.482,5.07,33,31,33,64
7.487,5.37,33,31,33,67
7.492,5.08,33,31,33,69
7.498,5.45,33,31,33,71
7.503,5.31,33,31,33,74
7.510,6.53,33,31,33,76
7.567,56.89,33,31,33,79
7.574,7.19,33,31,33,105
7.581,7.64,33,31,33,108
7.587,5.85,33,31,33,111
7.594,7.13,33,31,33,114
7.600,5.39,33,31,33,117
7.606,6.44,33,31,33,120
7.612,5.36,33,31,33,123
7.616,4.53,33,31,33,125
7.621,4.69,33,31,33,127
7.626,4.99,33,31,33,129
7.631,4.91,33,31,33,131
7.636,4.94,33,31,33,134
7.641,5.14,33,31,33,136
7.647,6.32,33,31,33,138
7.653,6.19,33,31,33,141
7.661,7.71,33,31,33,144
7.666,4.77,33,31,33,147
7.672,6.41,33,31,33,149
7.679,6.76,33,31,33,152
7.686,7.05,33,31,33,155
7.692,5.61,33,31,33,159
7.698,6.06,33,31,33,161
7.705,7.07,33,31,33,164
7.713,8.71,33,31,33,167
7.719,5.47,33,31,33,171
7.725,5.64,33,31,33,173
7.732,7.02,33,31,33,176
7.737,5.14,33,31,33,179
7.742,5.04,33,31,33,181
7.748,5.74,33,31,33,184
7.753,5.77,33,31,33,186
7.759,5.56,33,31,33,189
7.765,6.46,33,31,33,191
7.771,5.23,33,31,33,194
7.775,4.75,33,31,33,197
7.783,7.22,33,31,33,199
7.788,5.20,33,31,33,202
7.794,6.17,33,31,33,204
7.801,6.76,33,31,33,207
7.806,5.36,33,31,33,210
7.811,5.35,33,31,33,213
7.865,53.35,33,31,33,215
7.870,5.47,33,31,33,239
7.878,7.38,33,31,33,241
7.885,7.55,33,31,33,245
7.891,6.29,33,31,33,248
7.897,5.86,32,30,32,251
7.903,5.48,32,30,32,254
7.909,6.07,32,30,32,256
7.914,5.16,32,30,32,259
7.920,5.91,32,30,32,261
7.925,5.58,32,30,32,264
